title,artist
"81 Million Votes, My Ass",The Truth Bombers & Kari Lake
Fast Car,Luke Combs
Last Night,Morgan Wallen
Take Two,BTS
Need A Favor,Jelly Roll
Save Me (with Lainey Wilson),Jelly Roll
Flowers,Miley Cyrus
Thank God I Do,Lauren Daigle
Son,Mitch Rossell
Let Me In,EXO
Bust a Move,Young MC
Calm Down,Rema & Selena Gomez
Thinkin’ Bout Me,Morgan Wallen
Funky Cold Medina,Tone-Loc
Dance The Night,Dua Lipa
Son Of A Sinner,Jelly Roll
Stand By Me (feat. Morgan Wallen),Lil Durk
Area Codes,Kali
Pound Town 2,"Sexyy Red, Nicki Minaj & Tay Keith"
All My Life (feat. J. Cole),Lil Durk
Wild Thing,Tone-Loc
TRUSTFALL,P!nk
Thicc As Thieves,Lauren Alaina & Lainey Wilson
Thank God,Kane Brown & Katelyn Brown
Cruel Summer,Taylor Swift
Favorite Song,Toosii
Eyes Closed,Ed Sheeran
Religiously,Bailey Zimmerman
Heart Like A Truck,Lainey Wilson
Love You Anyway,Luke Combs
Dancin’ In The Country,Tyler Hubbard
Thought You Should Know,Morgan Wallen
Rode Hard,Danae Hays
Something in the Orange (Z&E's Version),Zach Bryan
Tennessee Orange,Megan Moroney
Karma,Taylor Swift
Can She Have This Dance,Drew Baldridge
Praise You Anywhere,Brandon Lake
Rock and A Hard Place,Bailey Zimmerman
Anti-Hero,Taylor Swift
Heaven,Niall Horan
Mourning,Post Malone
Next Thing You Know,Jordan Davis
Watermelon Moonshine,Lainey Wilson
Daylight,David Kushner
Fast Car,Tracy Chapman
Bury Me in Georgia (Single Edit),Kane Brown
Unstoppable,Sia
Chemical,Post Malone
Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee"
wait in the truck,HARDY & Lainey Wilson
Tennessee Whiskey,Chris Stapleton
One Thing At A Time,Morgan Wallen
Oklahoma Smokeshow,Zach Bryan
Euphoria,BTS
Sure Thing,Miguel
VULGAR,Sam Smith & Madonna
Wasted On You,Morgan Wallen
Waffle House,Jonas Brothers
If You Were Mine,Miranda Lambert & Leon Bridges
Hip Hop Hooray (Re-recorded Version),Naughty By Nature
Peaches,Jack Black
Shivers,Ed Sheeran
Try That In A Small Town,Jason Aldean
Makeba,Jain
Drinkaby,Cole Swindell
Dial Drunk,Noah Kahan
Cupid (Twin Ver.),FIFTY FIFTY
O.P.P. (Re-recorded Version),Naughty By Nature
Ella Baila Sola,Eslabon Armado & Peso Pluma
Karma (feat. Ice Spice),Taylor Swift
I Ain't Worried,OneRepublic
Gratitude,Brandon Lake
TRUCK BED,HARDY
WHERE SHE GOES,Bad Bunny
To the Bar,Cooper Alan
Halfway To Hell,Jelly Roll
You Proof,Morgan Wallen
Memory Lane,Old Dominion
Life Goes On (feat. Luke Combs),Ed Sheeran
Your Heart Or Mine,Jon Pardi
One Margarita (Margarita Song),"That Chick Angel, Casa Di & Steve Terrell"
Take Me Out,Carrie Underwood
Slut Me Out,NLE Choppa
Put It On Da Floor Again (feat. Cardi B),Latto
red flag collector,Kelly Clarkson
You Need To Calm Down,Taylor Swift
Hits Different,Taylor Swift
Standing Room Only,Tim McGraw
But I Got A Beer In My Hand,Luke Bryan
Whiskey Glasses,Morgan Wallen
Snooze,SZA
HAPPY,NF
Holy Forever,Chris Tomlin
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",Elevation Worship
Perfect,Ed Sheeran
Cowgirls (feat. ERNEST),Morgan Wallen
A Symptom Of Being Human,Shinedown
PLEBADA,El Alfa & Peso Pluma
